N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
133,신세계,"218,500","2,000",+0.92%,"5,000","21,512","9,845",27.09,"19,378",6.01,8.54,
134,대우조선해양,"19,850",550,+2.85%,"5,000","21,297","107,291",3.14,"434,225",-1.09,-55.86,
135,대웅제약,"183,500","9,000",-4.68%,"2,500","21,261","11,587",8.30,"86,984",34.64,4.39,
136,하이트진로,"30,250",100,+0.33%,"5,000","21,215","70,134",11.64,"266,490",27.03,6.62,
137,TIGER 200,"32,395",170,+0.53%,0,"21,122","65,200",0.00,"1,438,532",N/A,N/A,
138,한화,"27,550","2,000",+7.83%,"5,000","20,651","74,959",14.50,"1,828,432",4.22,20.22,
139,KODEX 200선물인버스2X,"2,995",25,-0.83%,0,"20,591","687,500",3.46,"128,158,951",N/A,N/A,
140,녹십자,"173,000","1,500",-0.86%,"5,000","20,218","11,687",22.86,"39,363",17.60,10.30,
141,한화생명,"2,305",130,+5.98%,"5,000","20,020","868,530",7.62,"3,369,082",2.18,10.79,
142,DB하이텍,"45,000",500,+1.12%,"5,000","19,979","44,399",25.90,"853,452",4.68,33.35,
143,LIG넥스원,"88,000","5,200",+6.28%,"5,000","19,360","22,000",9.64,"521,129",15.26,14.63,
144,LS,"58,900","1,900",+3.33%,"5,000","18,966","32,200",14.67,"140,550",5.46,8.15,
145,현대위아,"68,100","1,200",+1.79%,"5,000","18,520","27,195",9.10,"297,259",33.97,1.96,
146,SK케미칼,"105,000","1,000",+0.96%,"5,000","18,502","17,621",19.74,"54,181",13.35,11.19,
147,휠라홀딩스,"30,400",600,+2.01%,"1,000","18,469","60,752",38.95,"204,543",8.16,16.20,
148,영원무역,"40,350",100,+0.25%,500,"17,880","44,311",28.95,"80,522",5.14,14.71,
149,효성첨단소재,"393,000","28,500",+7.82%,"5,000","17,606","4,480",6.62,"87,272",6.66,54.69,
150,LS ELECTRIC,"58,000",300,+0.52%,"5,000","17,400","30,000",12.96,"373,464",16.92,5.86,
151,TIGER 미국S&P500,"13,370",265,+2.02%,0,"17,361","129,850",0.00,"886,399",N/A,N/A,
152,한전KPS,"38,250",500,+1.32%,200,"17,212","45,000",5.51,"193,462",22.81,9.12,
153,후성,"18,500",150,-0.80%,500,"17,132","92,607",5.91,"2,173,000",27.95,9.61,
154,농심,"279,500","1,000",+0.36%,"5,000","17,001","6,083",13.18,"21,423",16.37,4.73,
155,롯데정밀화학,"65,800",700,+1.08%,"5,000","16,976","25,800",21.57,"448,201",2.95,30.43,
156,TIGER 단기통안채,"101,040",15,+0.01%,0,"16,800","16,627",0.82,"1,665,160",N/A,N/A,
157,오뚜기,"449,500","2,500",-0.55%,"5,000","16,506","3,672",11.98,"2,836",11.32,8.91,
158,롯데칠성,"177,500","4,500",+2.60%,500,"16,470","9,279",11.47,"26,666",11.36,9.96,
159,코스모신소재,"53,600",200,-0.37%,"1,000","16,429","30,651",8.10,"418,334",76.79,9.42,
160,대웅,"28,250",200,-0.70%,500,"16,425","58,142",4.45,"36,211",16.58,11.13,
161,KODEX 단기채권PLUS,"103,805",10,+0.01%,0,"16,362","15,762",0.00,"1,248,354",N/A,N/A,
162,효성,"76,700","1,300",+1.72%,"5,000","16,161","21,071",5.52,"52,709",3.98,18.04,
163,동원시스템즈,"54,400","1,100",-1.98%,"5,000","15,878","29,188",13.10,"22,103",36.73,6.95,
164,DL이앤씨,"40,550",750,+1.88%,"5,000","15,690","38,694",21.66,"213,655",3.36,N/A,
165,현대백화점,"66,600",700,+1.06%,"5,000","15,586","23,402",20.65,"41,598",7.48,4.36,
166,코오롱인더,"54,700","1,200",+2.24%,"5,000","15,053","27,519",18.41,"121,120",7.33,8.20,
167,신풍제약,"28,300",700,-2.41%,500,"14,995","52,985",4.91,"606,595",-84.98,-3.19,
168,TIGER 미국필라델피아반도체나스닥,"10,215",110,+1.09%,0,"14,919","146,050",0.30,"1,944,062",N/A,N/A,
169,효성티앤씨,"344,500","23,000",+7.15%,"5,000","14,909","4,328",9.63,"69,136",2.13,76.22,
170,JB금융지주,"7,460",10,+0.13%,"5,000","14,695","196,983",27.64,"338,124",2.72,12.80,
171,솔루스첨단소재,"41,750","1,750",+4.38%,100,"14,659","35,111",5.83,"658,014",174.69,4.00,
172,에스엘,"31,350",300,+0.97%,500,"14,562","46,449",14.54,"109,090",18.11,6.63,
173,롯데렌탈,"39,650",200,-0.50%,"5,000","14,525","36,634",5.09,"43,386",9.95,12.28,
174,TIGER 미국테크TOP10 INDXX,"11,115",410,+3.83%,0,"14,388","129,450",0.39,"1,689,130",N/A,N/A,
175,KODEX KOFR금리액티브(합성),"100,470",15,+0.01%,0,"14,262","14,195",0.00,"18,505",N/A,N/A,
176,대덕전자,"28,450",600,+2.15%,500,"14,059","49,417",18.34,"859,329",16.86,9.55,
177,TIGER TOP10,"10,725",5,-0.05%,0,"13,776","128,450",0.19,"203,648",N/A,N/A,
178,DL,"65,000","1,700",+2.69%,"5,000","13,621","20,956",10.61,"85,109",2.22,26.52,
179,KODEX 종합채권(AA-이상)액티브,"103,675",285,+0.28%,0,"13,596","13,114",0.00,"1,593",N/A,N/A,
180,한샘,"57,400",400,+0.70%,"1,000","13,508","23,534",14.17,"25,291",25.05,9.10,
181,한미반도체,"13,500",200,-1.46%,100,"13,354","98,920",5.09,"354,118",12.88,34.59,
182,대성홀딩스,"82,000",700,-0.85%,"1,000","13,193","16,089",5.47,"142,053",75.93,3.61,
